"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL228371","OC(=O)c1cccc(\C=N\NC(=S)NC2CCCC2)c1","IC50","'='",20000,"nM",4.7,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,291.38,2.13
"CHEMBL231602","COc1c2CCc3cc(\C=N\NC(=S)NC4CCCCC4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15","IC50","'='",460,"nM",6.34,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,645.69,4.2
"CHEMBL284412","COc1c2CCc3cc(\C=N\N=C(/S)\NN4CCCCC4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15","IC50","'='",6000,"nM",5.22,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,646.68,3.68
"CHEMBL27198","CCCCCCC\N=C(/S)\N\N=C\c1cc2CCc3c(OC)c4C(=O)c5c(O)c(C)c(O)cc5C(=O)c4c(O)c3c2c(O)c1C(=O)O","IC50","'='",9000,"nM",5.05,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,661.73,5.24
"CHEMBL27197","CCCCCCCCC\N=C(/S)\N\N=C\c1cc2CCc3c(OC)c4C(=O)c5c(O)c(C)c(O)cc5C(=O)c4c(O)c3c2c(O)c1C(=O)O","IC50","'='",19000,"nM",4.72,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,689.79,6.03
"CHEMBL325346","NS(=O)(=O)Oc1cccc(CN(c2ccc(cc2)C#N)n3cnnc3)c1","IC50","'='",5133,"nM",5.29,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136793","In vitro inhibition of [6,7-3H]E1S binding to steroid sulfatase in JEG-3 human placental carcinoma cells","J. Med. Chem.",2003,370.39,1.2
"CHEMBL79227","CCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",31600,"nM",4.5,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136029","Inhibitory activity against Estrone Sulfatase","Bioorg. Med. Chem. Lett.",2002,245.26,0.45
"CHEMBL228542","OC(=O)c1ccc(O)c(\C=N\NC(=S)NC2CCCCC2)c1","IC50","'='",250,"nM",6.6,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,321.4,2.22
"CHEMBL1672974","NS(=O)(=O)Oc1ccc(cc1)c2cc(ccc2C#N)N(Cc3ccccc3)n4cnnc4","IC50","'='",2900,"nM",5.54,"CHEMBL3559","Steryl-sulfatase","CHEMBL1671847","Inhibition of steroid sulfatase in human JEG-3 cells using [6,7-3H]E1S after 1 hr by scintillation spectrometry","ACS Med. Chem. Lett.",2011,446.49,2.87
"CHEMBL1672979","NS(=O)(=O)Oc1ccc(CN(c2ccc(C#N)c(c2)c3ccccc3)n4cnnc4)cc1Br","IC50","'='",0.13,"nM",9.89,"CHEMBL3559","Steryl-sulfatase","CHEMBL1671847","Inhibition of steroid sulfatase in human JEG-3 cells using [6,7-3H]E1S after 1 hr by scintillation spectrometry","ACS Med. Chem. Lett.",2011,525.39,3.63
"CHEMBL344037","NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)C3CCCC3","IC50","'='",134,"nM",6.87,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,309.34,2.03
"CHEMBL389265","OC(=O)c1ccccc1\C=N\NC(=S)NC2CCCC2","IC50","'='",43000,"nM",4.37,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,291.38,2.13
"CHEMBL84380","CCCCCCCCC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",3400,"nM",5.47,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134811","Inhibition of estrone sulfatase (ES)","Bioorg. Med. Chem. Lett.",2001,313.42,3.2
"CHEMBL26541","COc1c2CCc3cc(\C=N\N=C(/S)\N(C)C4CCCCC4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15","IC50","'='",1400,"nM",5.85,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,659.72,4.95
"CHEMBL27775","CN\C(=N\N=C\c1cc2CCc3c(OC)c4C(=O)c5c(O)c(C)c(O)cc5C(=O)c4c(O)c3c2c(O)c1C(=O)O)\S","IC50","'='",29000,"nM",4.54,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,577.57,2.9
"CHEMBL334696","NS(=O)(=O)Oc1ccc2OC(CCc2c1)C3CCCCC3","IC50","'='",11200,"nM",4.95,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,311.4,2.54
"CHEMBL305637","CCCCCCCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",22400,"nM",4.65,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,357.47,3.57
"CHEMBL347202","NS(=O)(=O)Oc1ccc(cc1)C(=O)OC2CCCC2","IC50","'='",9300,"nM",5.03,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,285.32,1.37
"CHEMBL184540","OC(=O)c1ccc2OC(=CC(=O)c2c1)C34CC5CC(CC(C5)C3)C4","IC50","'='",9400,"nM",5.03,"CHEMBL3559","Steryl-sulfatase","CHEMBL1137208","Inhibitory activity against human steroid sulfatase over-expressed in CHO cells","J. Med. Chem.",2004,324.38,3.96
"CHEMBL443552","NS(=O)(=O)Oc1ccc(cc1)C(=O)OC2CCCCC2","IC50","'='",1700,"nM",5.77,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,299.35,1.76
"CHEMBL186816","OC(=O)c1ccc2SC(=CC(=O)c2c1)C34CC5CC(CC(C5)C3)C4","IC50","'='",180,"nM",6.75,"CHEMBL3559","Steryl-sulfatase","CHEMBL1137208","Inhibitory activity against human steroid sulfatase over-expressed in CHO cells","J. Med. Chem.",2004,340.44,4.43
"CHEMBL1672982","NS(=O)(=O)Oc1ccc(CN(c2ccc(C#N)c(c2)c3ccc(cc3)C#N)n4cnnc4)cc1","IC50","'='",240,"nM",6.62,"CHEMBL3559","Steryl-sulfatase","CHEMBL1671847","Inhibition of steroid sulfatase in human JEG-3 cells using [6,7-3H]E1S after 1 hr by scintillation spectrometry","ACS Med. Chem. Lett.",2011,471.5,2.74
"CHEMBL282717","NS(=O)(=O)Oc1cccc(Cl)c1","IC50","'='",537000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134732","Inhibitory concentration against estrone sulfatase","Bioorg. Med. Chem. Lett.",2001,207.64,0.92
"CHEMBL63504","NS(=O)(=O)Oc1cccc(c1)C(=O)c2ccc(O)cc2","IC50","'='",5000,"nM",5.3,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,293.3,1.21
"CHEMBL390496","NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n3cnnc3)cc1I","IC50","'='",190,"nM",6.72,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145445","Inhibition of steroid sulfatase in JEG3 cell membrane","J. Med. Chem.",2007,496.29,1.81
"CHEMBL1627553","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#Cc5ccccc5","IC50","'='",1020,"nM",5.99,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,372.51,5.03
"CHEMBL1627418","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5cccc(Cl)c5","IC50","'='",110,"nM",6.96,"CHEMBL3559","Steryl-sulfatase","CHEMBL1131367","Estrone sulfatase activity against homogenized human JEG-3 cells was determined by measuring the [3H]E1 obtained from [3H]E1S","Bioorg. Med. Chem. Lett.",1998,396.96,5.88
"CHEMBL137119","NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)CCc3ccccc3","IC50","'='",190,"nM",6.72,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,345.38,2.16
"CHEMBL181078","CC(C)(C)OC(=O)N1CCC(CC1)C(=O)NS(=O)(=O)Cc2cc(Cl)cc(Cl)c2","IC50","'='",10200,"nM",4.99,"CHEMBL3559","Steryl-sulfatase","CHEMBL1144338","Inhibitory constant against human steroid sulfatase","Bioorg. Med. Chem. Lett.",2005,451.37,3.59
"CHEMBL285011","CCCCCCCCCCCC\N=C(/S)\N\N=C\c1cc2CCc3c(OC)c4C(=O)c5c(O)c(C)c(O)cc5C(=O)c4c(O)c3c2c(O)c1C(=O)O","IC50","'='",50000,"nM",4.3,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,731.87,7.2
"CHEMBL137289","NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)C3CCCCCCCCCCC3","IC50","'='",45,"nM",7.35,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145899","Inhibition of steroid sulfatase","J. Med. Chem.",2003,407.53,4.76
"CHEMBL137313","NS(=O)(=O)Oc1ccc2OC(CC(=O)c2c1)c3ccccc3","IC50","'='",2580,"nM",5.59,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,319.34,1.98
"CHEMBL26036","NS(=O)(=O)Oc1ccc2CCCCc2c1","IC50","'='",1000,"nM",6,"CHEMBL3559","Steryl-sulfatase","CHEMBL1131747","Inhibitory activity against estrone sulfatase enzyme","Bioorg. Med. Chem. Lett.",1999,227.28,1.15
"CHEMBL1159897","Cc1c(c2ccc(OS(=O)(=O)O)cc2)n(Cc3c(F)c(F)c(F)c(F)c3F)c4cc(OS(=O)(=O)O)cc(c14)C(F)(F)F","IC50","'='",80000,"nM",4.1,"CHEMBL3559","Steryl-sulfatase","CHEMBL1129755","Inhibitory activity against Estrone sulfatase (E1-STS)","J. Med. Chem.",1996,647.47,5.74
"CHEMBL24063","NS(=O)(=O)Oc1cccc(I)c1","IC50","'='",120000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135300","In vitro inhibition of estrone sulfatase.","Bioorg. Med. Chem. Lett.",2002,299.09,0.87
"CHEMBL426202","OC(=O)c1c(O)cccc1\C=N\NC(=S)NC2CCCCC2","IC50","'='",4200,"nM",5.38,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,321.4,2.22
"CHEMBL1627428","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1[C@@H](CCC(=O)O)C[C@@H]2O","IC50","'='",5640,"nM",5.25,"CHEMBL3559","Steryl-sulfatase","CHEMBL1131367","Estrone-sulfatase activity against homogenized human JEG-3 cells was determined by measuring the [3H]E1 obtained from [3H]E1S","Bioorg. Med. Chem. Lett.",1998,344.45,3.7
"CHEMBL44459","CCCCCCCCCCCCCC(=O)NCCc1ccc(OS(=O)(=O)N)cc1","IC50","'='",55.8,"nM",7.25,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133850","Tested for the inhibitory activity against Estrone Sulfatase","Bioorg. Med. Chem. Lett.",2001,426.62,4.63
"CHEMBL1627411","CCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C","IC50","'='",1980,"nM",5.7,"CHEMBL3559","Steryl-sulfatase","CHEMBL1131367","Estrone sulfatase activity against homogenized human JEG-3 cells was determined by measuring the [3H]E1 obtained from [3H]E1S","Bioorg. Med. Chem. Lett.",1998,342.52,5.56
"CHEMBL389890","Oc1ccc(cc1\C=N\NC(=S)NC2CCCCC2)S(=O)(=O)[O-]","IC50","'='",4600,"nM",5.34,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,379.44,1.77
"CHEMBL389889","OC(=O)c1cc(\C=N\NC(=S)NC2CCCCC2)ccc1O","IC50","'='",50,"nM",7.3,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,321.4,2.22
"CHEMBL228797","OC(=O)c1ccccc1\C=N\NC(=S)NC2CCCCCC2","IC50","'='",13000,"nM",4.89,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,319.43,2.91
"CHEMBL389867","[O-]S(=O)(=O)c1ccccc1\C=N\NC(=S)NC2CCCCC2","IC50","'='",4000,"nM",5.4,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,363.44,2.06
"CHEMBL444886","Oc1ccccc1\C=N\NC(=S)NC2CCCCC2","IC50","'='",8000,"nM",5.1,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,277.39,2.52
"CHEMBL1627421","COc1ccc(C[C@]2(O)CC[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@]23C)cc1","IC50","'='",110,"nM",6.96,"CHEMBL3559","Steryl-sulfatase","CHEMBL1131367","Estrone sulfatase activity against homogenized human JEG-3 cells was determined by measuring the [3H]E1 obtained from [3H]E1S","Bioorg. Med. Chem. Lett.",1998,392.54,5.23
"CHEMBL306782","CCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",5900,"nM",5.23,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136029","Inhibitory activity against Estrone Sulfatase","Bioorg. Med. Chem. Lett.",2002,287.34,1.62
"CHEMBL187900","Oc1ccc2nc(oc2c1)C=C3C4CC5CC(CC3C5)C4","IC50","'='",260,"nM",6.58,"CHEMBL3559","Steryl-sulfatase","CHEMBL1137040","Inhibition of purified human steroid sulfatase","Bioorg. Med. Chem. Lett.",2004,281.35,4.37
"CHEMBL80330","CCCCCCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",4800,"nM",5.32,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,343.45,3.18
"CHEMBL78282","CCCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",3800,"nM",5.42,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,301.36,2.01
"CHEMBL24120","NS(=O)(=O)Oc1ccc(I)cc1","IC50","'='",560000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135300","In vitro inhibition of estrone sulfatase.","Bioorg. Med. Chem. Lett.",2002,299.09,0.87
"CHEMBL188214","OC(=O)C(=O)c1ccc2OC(=CC(=O)c2c1)C34CC5CC(CC(C5)C3)C4","IC50","'='",12300,"nM",4.91,"CHEMBL3559","Steryl-sulfatase","CHEMBL1137208","Inhibitory activity against human steroid sulfatase over-expressed in CHO cells","J. Med. Chem.",2004,352.39,3.53
"CHEMBL1945897","Cc1ccc(CS(=O)(=O)N[C@H]2CC[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@]23C)cc1","IC50","'='",261,"nM",6.58,"CHEMBL3559","Steryl-sulfatase","CHEMBL1944519","Inhibition of steroid sulfatase using 4-methylumbelliferyl sulfate as substrate after 10 mins by spectrofluorimeter plate reader","Bioorg. Med. Chem.",2012,439.62,5.04
"CHEMBL1627427","CCCCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C","IC50","'='",440,"nM",6.36,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,384.6,6.73
"CHEMBL283560","NS(=O)(=O)Oc1cccc(c1)[N+](=O)[O-]","IC50","'='",120000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135300","In vitro inhibition of estrone sulfatase.","Bioorg. Med. Chem. Lett.",2002,218.19,0.18
"CHEMBL421505","CCCCCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",5000,"nM",5.3,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,329.42,2.79
"CHEMBL305077","COc1cccc(c1)C(=O)c2cccc(OS(=O)(=O)N)c2","IC50","'='",7100,"nM",5.15,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,307.33,1.51
"CHEMBL65211","NS(=O)(=O)Oc1ccc(cc1)C(=O)c2cccc(OS(=O)(=O)N)c2","IC50","'='",780,"nM",6.11,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,372.38,0.08
"CHEMBL23864","NS(=O)(=O)Oc1cccc(F)c1","IC50","'='",2089000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134732","Inhibitory concentration against estrone sulfatase","Bioorg. Med. Chem. Lett.",2001,191.18,0.41
"CHEMBL138488","NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)C3CCCCC3","IC50","'='",62,"nM",7.21,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,323.37,2.42
"CHEMBL385226","CCCCCN(CCCCC)S(=O)(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)N)ccc4[C@H]3CC[C@]12C","IC50","'='",190,"nM",6.72,"CHEMBL3559","Steryl-sulfatase","CHEMBL1138865","Inhibition of STS in placental microsomes by radiometric assay","J. Med. Chem.",2006,570.82,5.44
"CHEMBL387708","Oc1cccc(\C=N\NC(=S)NC2CCCCC2)c1","IC50","'='",4000,"nM",5.4,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,277.39,2.52
"CHEMBL1627429","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5cccc(Br)c5","IC50","'='",24,"nM",7.62,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,441.41,5.98
"CHEMBL1628149","CCCCCCCCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C","IC50","'='",6000,"nM",5.22,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,440.71,8.29
"CHEMBL23305","NS(=O)(=O)Oc1cccc(Br)c1","IC50","'='",257000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134732","Inhibitory concentration against estrone sulfatase","Bioorg. Med. Chem. Lett.",2001,252.09,1.03
"CHEMBL1627617","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5ccc(OCc6ccccc6)cc5","IC50","'='",22,"nM",7.66,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,468.64,6.8
"CHEMBL270250","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@H](Cc5ccccc5)[C@@H]2O","IC50","'='",62,"nM",7.21,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells by the compound at 20 uM, activity was determined by considering total labeled estrone ([3H]E1) formed from labeled estrone sulfate ([3H]-E1S)","J. Med. Chem.",2000,362.51,5.08
"CHEMBL63345","COc1cccc(c1)C(=O)c2ccc(OS(=O)(=O)N)cc2","IC50","'='",5200,"nM",5.28,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,307.33,1.51
"CHEMBL283121","NS(=O)(=O)Oc1ccc(Br)cc1","IC50","'='",912000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134732","Inhibitory concentration against estrone sulfatase","Bioorg. Med. Chem. Lett.",2001,252.09,1.03
"CHEMBL25794","COc1c2CCc3cc(\C=N\NC(=O)NC4CCCCC4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15","IC50","'='",7000,"nM",5.16,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,629.62,4.03
"CHEMBL65399","NS(=O)(=O)Oc1ccc(cc1)C(=O)c2ccccc2O","IC50","'='",4600,"nM",5.34,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,293.3,1.21
"CHEMBL108646","NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n3cnnc3)cc1F","IC50","'='",40,"nM",7.4,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136793","In vitro inhibition of [6,7-3H]E1S binding to steroid sulfatase in JEG-3 human placental carcinoma cells","J. Med. Chem.",2003,388.38,1.34
"CHEMBL26969","COc1c2CCc3cc(\C=N\N=C(/S)\NC4CCCC4)c(C(=O)O)c(O)c3c2c(O)c5C(=O)c6cc(O)c(C)c(O)c6C(=O)c15","IC50","'='",3200,"nM",5.5,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135104","Inhibitory activity againist Estrone sulfatase from MCF-7 cells (placental microsomes)","Bioorg. Med. Chem. Lett.",2002,631.66,4.22
"CHEMBL23258","NS(=O)(=O)Oc1ccc(cc1)[N+](=O)[O-]","IC50","'='",330000,"nM",NA,"CHEMBL3559","Steryl-sulfatase","CHEMBL1134732","Inhibitory concentration against estrone sulfatase","Bioorg. Med. Chem. Lett.",2001,218.19,0.18
"CHEMBL1627625","CC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C","IC50","'='",14400,"nM",4.84,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,300.44,4.39
"CHEMBL407952","CCc1cc2[C@H]3CC[C@]4(C)[C@@H](CC#N)CC[C@H]4[C@@H]3CCc2cc1OS(=O)(=O)N","IC50","'='",1400,"nM",5.85,"CHEMBL3559","Steryl-sulfatase","CHEMBL1142356","Inhibition of steroid sulfatase-mediated conversion of [3H]E1S to E1","J. Med. Chem.",2008,402.56,4.22
